No.,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Cr2O3,NiO,Total,Fe_Mg,Mg#,phase,position,x,Comment
237,2.79545,0.00415,0.09065,0.2637,0.00715,1.682,0.05275,0.02005,0.00375,4.91965,0.004399551,18.38250471,opx,29.8,0.000005,1002-9-1C-opx01-1
239,2.79145,0.00465,0.09235,0.27265,0.0062,1.68995,0.0512,0.0198,0.0041,4.93235,0.004527473,18.33937919,opx,30.2,0.000005,1002-9-1C-opx01-1
241,2.77835,0.00475,0.0909,0.2663,0.0067,1.6758,0.0515,0.0198,0.00385,4.89795,0.004459367,18.36231416,opx,30.6,0.000005,1002-9-1C-opx01-1
243,2.77675,0.00465,0.0909,0.2729,0.00705,1.6856,0.05325,0.01935,0.00385,4.9143,0.004543319,18.33405119,opx,31,0.000005,1002-9-1C-opx01-1
245,2.78295,0.00455,0.08995,0.27825,0.0067,1.6776,0.05435,0.01965,0.004,4.918,0.004654478,18.29676252,opx,31.4,0.000005,1002-9-1C-opx01-1
247,2.7867,0.00465,0.09115,0.27605,0.0067,1.6926,0.0515,0.01925,0.00405,4.93265,0.004576755,18.3228191,opx,31.8,0.000005,1002-9-1C-opx01-1
249,2.7731,0.005,0.0933,0.293,0.00755,1.69055,0.0517,0.0179,0.003,4.9351,0.004863667,18.22699904,opx,32.2,0.000005,1002-9-1C-opx01-1
251,2.76965,0.0054,0.0955,0.3139,0.00915,1.661,0.05145,0.0144,0.00245,4.9229,0.005303296,18.08210483,opx,32.6,0.000005,1002-9-1C-opx01-1
253,2.7781,0.00505,0.09205,0.31845,0.00775,1.6664,0.05365,0.01315,0.00215,4.93675,0.005362733,18.062692,opx,33,0.000005,1002-9-1C-opx01-1
255,2.7745,0.0059,0.09705,0.32575,0.0085,1.65505,0.0549,0.01275,0.0016,4.936,0.005523286,18.0104615,opx,33.4,0.000005,1002-9-1C-opx01-1
257,2.7803,0.0047,0.08705,0.32675,0.0087,1.6494,0.0614,0.0126,0.0019,4.9328,0.005559219,17.99881301,opx,33.8,0.000005,1002-9-1C-opx01-1
259,2.7483,0.0053,0.1105,0.33555,0.00805,1.63585,0.05975,0.0153,0.00155,4.92015,0.005756228,17.93521621,opx,34.2,0.000005,1002-9-1C-opx01-1
261,2.75695,0.0056,0.1183,0.33245,0.00865,1.6363,0.05725,0.0156,0.00145,4.93255,0.00570148,17.95284432,opx,34.6,0.000005,1002-9-1C-opx01-1
263,2.75215,0.00545,0.11365,0.3255,0.0085,1.6512,0.05445,0.01505,0.00195,4.9279,0.005531915,18.00766272,opx,35,0.000005,1002-9-1C-opx01-1
265,2.76845,0.00585,0.1048,0.3191,0.00785,1.64365,0.05555,0.01395,0.00235,4.92155,0.005448057,18.03489697,opx,35.4,0.000005,1002-9-1C-opx01-1
267,2.7563,0.005,0.11,0.3069,0.0076,1.65085,0.0597,0.01595,0.0022,4.9145,0.005216912,18.11039355,opx,35.8,0.000005,1002-9-1C-opx01-1
269,2.7688,0.00535,0.1092,0.3088,0.00795,1.64805,0.0598,0.0156,0.0023,4.92585,0.005258127,18.09688539,opx,36.2,0.000005,1002-9-1C-opx01-1
273,2.79765,0.00485,0.1068,0.31635,0.0074,1.64095,0.05805,0.0152,0.0016,4.94885,0.005409993,18.0472862,opx,37,0.000005,1002-9-1C-opx01-1
275,2.77455,0.00565,0.1006,0.31275,0.0076,1.6455,0.0585,0.01475,0.00185,4.92175,0.005333639,18.07218925,opx,37.4,0.000005,1002-9-1C-opx01-1
277,2.78765,0.00545,0.0995,0.30375,0.007,1.65075,0.05755,0.015,0.0021,4.92875,0.005163678,18.12787017,opx,37.8,0.000005,1002-9-1C-opx01-1
279,2.7804,0.00485,0.0932,0.2938,0.0072,1.65405,0.05315,0.0155,0.00215,4.9043,0.004984566,18.18692172,opx,38.2,0.000005,1002-9-1C-opx01-1
281,2.78905,0.00405,0.0977,0.28965,0.00665,1.6636,0.0531,0.0206,0.0039,4.9283,0.004885948,18.21959973,opx,38.6,0.000005,1002-9-1C-opx01-1
283,2.7661,0.00495,0.0971,0.27935,0.00745,1.6707,0.0557,0.02055,0.00385,4.90575,0.004692177,18.28415051,opx,39,0.000005,1002-9-1C-opx01-1
285,2.76435,0.0041,0.0978,0.2769,0.00665,1.67495,0.0531,0.0209,0.0043,4.90305,0.004639224,18.30187057,opx,39.4,0.000005,1002-9-1C-opx01-1
287,2.78935,0.0046,0.09705,0.27635,0.0068,1.67235,0.0537,0.0213,0.0039,4.9254,0.004637207,18.30254605,opx,39.8,0.000005,1002-9-1C-opx01-1
289,2.77045,0.0044,0.098,0.28395,0.00635,1.68055,0.0531,0.0207,0.00405,4.92155,0.004741488,18.26768033,opx,40.2,0.000005,1002-9-1C-opx01-1
290,2.77,0.00435,0.09775,0.2757,0.00675,1.6824,0.05355,0.021,0.00455,4.91605,0.004598664,18.31546636,opx,40.4,0.000005,1002-9-1C-opx01-1
291,2.76205,0.0049,0.0968,0.2754,0.00625,1.67305,0.0522,0.0208,0.0044,4.89585,0.004619332,18.30853573,opx,40.6,0.000005,1002-9-1C-opx01-1
292,2.7687,0.0039,0.09595,0.2658,0.0064,1.67105,0.05145,0.02055,0.00365,4.88745,0.004463646,18.36087143,opx,40.8,0.000005,1002-9-1C-opx01-1
293,2.7784,0.00475,0.0965,0.27605,0.0065,1.68185,0.05205,0.02075,0.0038,4.92065,0.004606008,18.31300319,opx,41,0.000005,1002-9-1C-opx01-1
294,2.7717,0.00415,0.09635,0.28285,0.0071,1.6816,0.05325,0.0204,0.00415,4.92155,0.004720171,18.27479685,opx,41.2,0.000005,1002-9-1C-opx01-1
295,2.76605,0.00445,0.094,0.28135,0.00635,1.68135,0.05365,0.01995,0.0045,4.91165,0.004695837,18.28292716,opx,41.4,0.000005,1002-9-1C-opx01-1
296,2.7674,0.0044,0.09425,0.28055,0.0073,1.6724,0.05225,0.01995,0.004,4.9025,0.004707543,18.27901493,opx,41.6,0.000005,1002-9-1C-opx01-1
297,2.7741,0.00475,0.0941,0.28625,0.0057,1.67405,0.05315,0.0199,0.0036,4.9156,0.004798453,18.24869024,opx,41.8,0.000005,1002-9-1C-opx01-1
298,2.74355,0.0048,0.11105,0.31235,0.00715,1.63925,0.0587,0.021,0.0034,4.90125,0.005347127,18.06778507,opx,42,0.000005,1002-9-1C-opx01-1
299,2.7081,0.0064,0.1385,0.34605,0.00825,1.605,0.0695,0.01995,0.0034,4.90515,0.006050455,17.84106844,opx,42.2,0.000005,1002-9-1C-opx01-1
300,2.69795,0.0069,0.15935,0.371,0.0084,1.55435,0.08715,0.0147,0.00325,4.90305,0.006698064,17.63728651,opx,42.4,0.000005,1002-9-1C-opx01-1
301,2.6877,0.00825,0.1738,0.38485,0.00995,1.5269,0.08315,0.01155,0.0029,4.88905,0.007073023,17.52141273,opx,42.6,0.000005,1002-9-1C-opx01-1
302,2.6647,0.00825,0.20075,0.41665,0.008,1.50905,0.0738,0.00755,0.0028,4.89155,0.007748042,17.31660446,opx,42.8,0.000005,1002-9-1C-opx01-1
303,2.64665,0.0093,0.2193,0.4352,0.00925,1.4997,0.07265,0.0057,0.003,4.90075,0.008143455,17.19884036,opx,43,0.000005,1002-9-1C-opx01-1
304,2.6369,0.0095,0.22665,0.42685,0.00915,1.5043,0.0687,0.0049,0.00255,4.8895,0.007962786,17.25244889,opx,43.2,0.000005,1002-9-1C-opx01-1
305,2.6504,0.00985,0.2309,0.4444,0.0104,1.507,0.0703,0.00505,0.0027,4.931,0.008275324,17.15992178,opx,43.4,0.000005,1002-9-1C-opx01-1
306,2.63745,0.01045,0.23565,0.4558,0.0089,1.4815,0.0704,0.0047,0.00355,4.9084,0.008633698,17.0550388,opx,43.6,0.000005,1002-9-1C-opx01-1
307,2.64655,0.01025,0.24145,0.4552,0.0096,1.48935,0.06705,0.00435,0.0033,4.9271,0.008576887,17.07157979,opx,43.8,0.000005,1002-9-1C-opx01-1
308,2.6243,0.0101,0.25035,0.4473,0.0094,1.48815,0.0664,0.0045,0.0034,4.9039,0.008434831,17.11308102,opx,44,0.000005,1002-9-1C-opx01-1
309,2.6377,0.0107,0.2419,0.4285,0.00855,1.50415,0.06665,0.00555,0.0032,4.9069,0.007994363,17.24305506,opx,44.2,0.000005,1002-9-1C-opx01-1
310,2.6813,0.00835,0.1763,0.3982,0.0093,1.5361,0.0699,0.008,0.0033,4.89075,0.007274547,17.45976263,opx,44.4,0.000005,1002-9-1C-opx01-1
311,2.70605,0.00825,0.1611,0.3752,0.0089,1.5599,0.0653,0.0082,0.003,4.8959,0.00674979,17.62121051,opx,44.6,0.000005,1002-9-1C-opx01-1
312,2.70365,0.00835,0.15545,0.3731,0.0085,1.5689,0.0694,0.00895,0.0035,4.8998,0.006673508,17.64492854,opx,44.8,0.000005,1002-9-1C-opx01-1
313,2.70315,0.0073,0.1461,0.3682,0.008,1.5789,0.0705,0.01085,0.00325,4.89625,0.006544152,17.68529492,opx,45,0.000005,1002-9-1C-opx01-1
314,2.72235,0.00645,0.13225,0.35385,0.00855,1.59405,0.06635,0.0153,0.00275,4.9019,0.006229332,17.78431235,opx,45.2,0.000005,1002-9-1C-opx01-1
315,2.72515,0.0055,0.1196,0.3544,0.00785,1.5984,0.06685,0.0176,0.00255,4.8979,0.006222035,17.78662051,opx,45.4,0.000005,1002-9-1C-opx01-1
316,2.7201,0.0055,0.11395,0.32835,0.0087,1.61525,0.06725,0.0183,0.0028,4.8802,0.005704551,17.95185456,opx,45.6,0.000005,1002-9-1C-opx01-1
317,2.73635,0.00565,0.1132,0.3326,0.00765,1.60405,0.06685,0.01845,0.0032,4.888,0.005818735,17.91513203,opx,45.8,0.000005,1002-9-1C-opx01-1
318,2.7331,0.00515,0.1113,0.3245,0.0074,1.61075,0.06535,0.0185,0.0024,4.87845,0.005653414,17.96834972,opx,46,0.000005,1002-9-1C-opx01-1
319,2.7399,0.0047,0.1079,0.3478,0.00765,1.618,0.0656,0.01785,0.00315,4.91255,0.006032194,17.84688297,opx,46.2,0.000005,1002-9-1C-opx01-1
320,2.70975,0.0076,0.10565,0.426,0.0095,1.53365,0.06635,0.01685,0.00235,4.8777,0.007794846,17.3025809,opx,46.4,0.000005,1002-9-1C-opx01-1
321,2.603,0.0161,0.07545,0.615,0.0152,1.4443,0.0729,0.01055,0.0021,4.8546,0.011949285,16.14223643,opx,46.6,0.000005,1002-9-1C-opx01-1
