,parameter,mean,stdev,mode,max_P
0,iteration,7500.5,4330.271354083945,188.4875,9335.0
1,MgN_beforeCrystallization0,92.18441917021731,0.4368575903697306,91.899921817841,92.86839427926772
2,growth_stoichiometry_orthopyroxene0,0.42774128760735824,0.2727196371567452,0.06248341696388296,0.027351737725828256
3,growth_stoichiometry_spinel0,0.04272146909644916,0.029457941800245153,0.00375958695600798,0.018354429746327287
4,MgN_beforeMixing0,91.71241293469063,0.523622300612323,91.70629699776822,91.67418142668564
5,mixing_stoichiometry_orthopyroxene0,0.4632388167974419,0.2699910083483862,0.533789360594744,0.4734236144495428
6,mixing_stoichiometry_spinel0,0.057774759950495504,0.023318973876075923,0.05128087290474451,0.08224013188243298
7,log10_tau0,7.988334314982495,0.07249420475102433,8.003528837375546,8.027884135697086
8,MgN_beforeCrystallization1,91.13035559463525,0.30390162733150916,91.21233278764967,91.23320515917452
9,growth_stoichiometry_orthopyroxene1,0.544279257876504,0.29361720921149415,0.8349784718510023,0.9779228483392558
10,growth_stoichiometry_spinel1,0.026164070136102474,0.014825552803964992,0.02713499685022734,0.005733851940889206
11,MgN_beforeMixing1,88.50262557953718,0.7496267431214289,89.19610396069857,88.5564266802627
12,mixing_stoichiometry_orthopyroxene1,0.6102384294242341,0.27167099112133025,0.8822150344007524,0.946717330365456
13,mixing_stoichiometry_spinel1,0.050588228660481765,0.028135778428251546,0.016322745801574362,0.02144625251484307
14,log10_tau1,3.7498626793661614,2.178004300227316,6.899490438325843,2.73743506266478
15,MgN_beforeCrystallization2,90.88531311662983,0.5383723008148726,90.47162449248346,91.16093660425786
16,growth_stoichiometry_orthopyroxene2,0.5259482042198447,0.2426379442056856,0.5301285188224828,0.5543612730450416
17,growth_stoichiometry_spinel2,0.04585713325755204,0.02279079220764497,0.037725666251188866,0.021942756681057208
18,MgN_beforeMixing2,88.70703233047598,0.729604800584637,89.0148318656304,88.2342081672598
19,mixing_stoichiometry_orthopyroxene2,0.6003978684872697,0.2700243504233587,0.7867923333085197,0.8029198135045845
20,mixing_stoichiometry_spinel2,0.02340879931061712,0.013244399981636863,0.021259214397956534,0.0070539842708211955
21,log10_tau2,3.74373711776103,2.136251526483561,6.514660215045408,0.3558469211196167
22,MgN_beforeCrystallization3,90.83071969630328,0.26592279020161796,90.69429177640332,90.72411406897787
23,growth_stoichiometry_orthopyroxene3,0.4533124915863228,0.2986631736732316,0.03747042279431397,0.2856316265241688
24,growth_stoichiometry_spinel3,0.043108046308910485,0.02317495595128882,0.023758276802454743,0.05039743978033091
25,MgN_beforeMixing3,89.99373267425746,0.4126318733944421,90.11837667166486,90.16004727714045
26,mixing_stoichiometry_orthopyroxene3,0.2906560462206804,0.20055119367127686,0.18107427804289775,0.4810711267090622
27,mixing_stoichiometry_spinel3,0.04655090693252203,0.011734904693480206,0.04468549003092924,0.0415370862473773
28,log10_tau3,3.6572389124704916,2.08226612255184,5.553740708857805,4.0456212771767985
29,MgN_beforeCrystallization4,91.68053843715163,0.20058526415068062,91.66246395445793,91.55447716779322
30,growth_stoichiometry_orthopyroxene4,0.37768168105263517,0.2718820680159757,0.06232471234706535,0.3100591447801053
31,growth_stoichiometry_spinel4,0.038346840896782655,0.026767752719121015,0.008758724340893503,0.0022305677391557927
32,MgN_beforeMixing4,91.45441260747658,0.3975193672850745,91.44226621750116,91.30218579714564
33,mixing_stoichiometry_orthopyroxene4,0.35304311283292966,0.2628161608170728,0.037472007392977125,0.17942113604143642
34,mixing_stoichiometry_spinel4,0.023794921101412868,0.02101125195580432,0.008749373056724406,0.00024458772158564973
35,log10_tau4,3.9942489064316575,2.329747552972457,7.091714195102686,3.6486597901978928
36,MgN_beforeCrystallization5,91.99428944608499,0.3692205395657373,92.06859688110254,92.60356774440136
37,growth_stoichiometry_orthopyroxene5,0.33991432183566417,0.256204115043981,0.012622608439379797,0.4988492927481216
38,growth_stoichiometry_spinel5,0.01464731381896903,0.01274666546292701,0.0028434043265838974,0.00094299258501031
39,MgN_beforeMixing5,89.58884891500597,0.443670738978625,89.560760676054,89.34612032891542
40,mixing_stoichiometry_orthopyroxene5,0.7154891084495831,0.20579551757658282,0.8215122160444923,0.7151745824892638
41,mixing_stoichiometry_spinel5,0.07054370140055888,0.01138341199501061,0.0764734348801426,0.07442553882032063
42,log10_tau5,4.278917951401503,2.3541364844570083,7.404292674252714,7.208646884229194
43,MgN_beforeCrystallization6,85.26882680754854,0.16659964355214257,85.22429707487295,85.15894883700358
44,growth_stoichiometry_orthopyroxene6,0.4662105945814436,0.26390018971868706,0.5370223905853422,0.1772029602959159
45,growth_stoichiometry_spinel6,0.03968358051662546,0.026700530029271266,0.0012514696790150073,0.031849865645064215
46,MgN_beforeMixing6,85.12739860523517,0.18580809733862252,85.05427502329803,85.05518057241224
47,mixing_stoichiometry_orthopyroxene6,0.2250581563450246,0.14919357872720682,0.1803192474155422,0.17005533989168314
48,mixing_stoichiometry_spinel6,0.03658417730007253,0.0025429263921793095,0.036785725077851036,0.03419797017599621
49,log10_tau6,3.793267481320873,2.2688929750857394,0.11335600478799328,2.858476937105726
50,MgN_beforeCrystallization7,92.79880192405346,0.4204264224181755,92.89987255098829,92.97780956865864
51,growth_stoichiometry_orthopyroxene7,0.036618346458481686,0.04310563683337886,0.009866636584189448,0.0031345927826652003
52,growth_stoichiometry_spinel7,0.0034225341609160154,0.006083701174629565,0.0008566770668737587,0.0016180463480504792
53,MgN_beforeMixing7,84.06677385240395,0.3134883594280052,83.96237560068093,84.07452351645532
54,mixing_stoichiometry_orthopyroxene7,0.06229652867731498,0.05274781678064886,0.00746463119684526,0.09334201403125154
55,mixing_stoichiometry_spinel7,0.0026783011430303893,0.005459438494196469,0.0006543261315263912,0.0007101258076964579
56,log10_tau7,8.25886465319962,3.4018932685754963,11.84969327837305,11.470575400564233
57,lnP,588.9433607419522,704.2300270971682,66.20566590029392,643.4617616929212
